Course Name,Course Code,Course Description,Distribution Requirements,Breadth Requirements,Prerequisites,Corequisites,Hours
Life Contingencies II,ACT348H1,"Determination of benefit premium and benefit reserves for life insurance and annuities; analysis of insurance loss random variables; theory of life contingencies for multiple lives. This is the second course in the life contingencies series, following  ACT247H1. Course manuals fee: $40.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%)","Corequisite: STA257H1,  MAT237Y1/  MAT257Y1",Hours: 36L
Corporate Finance for Actuarial Science,ACT349H1,Corporate finance for actuarial science students.,Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%)","Corequisite: STA257H1,  MAT237Y1/  MAT257Y1",Hours: 24L/12T
Applied Probability for Actuarial Science,ACT350H1,"The course offers an introduction to elementary probability theory and stochastic processes. The main goal of the course is to help actuarial students understand the concept of stochastic processes with particular emphasis on Markov chains that are of great importance in Life Contingencies and Property and Casualty insurance. The course will cover the following topics: a basic review of probabilities with emphasis on conditional probabilities and expectations, discrete time Markov chains, Poisson processes, continuous time Markov chains, renewal theory and some applications, queueing theory.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%),  STA257H1","Corequisite: MAT223H1/  MAT240H1,  MAT237Y1/  MAT257Y1",N/A
Financial Principles for Actuarial Science II,ACT370H1,"Mathematical theory of financial derivatives, discrete and continuous option pricing models, hedging strategies and exotic option valuation.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%)","Corequisite: STA261H1,  MAT237Y1/  MAT257Y1",Hours: 36L
Basic Reserving Methods For P&C Insurance,ACT371H1,"Topics covered include reserving data and triangles, diagnoses methods that range from triangle of ratios of paid claims to reported claims to triangle of reported claim ratios. The syllabus also includes projection techniques. Not eligible for CR/NCR option.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT240H1,  STA257H1",N/A,Hours: 24L/12T
Basic Ratemaking Methods For P&C Insurance,ACT372H1,"This course covers the basic ratemaking methods for P&C insurance. It assumes that students are familiar with traditional reserving diagnoses and projection methods. The syllabus would introduce concepts related to earning of exposures, on-level factors, catastrophe loading, large loss loading and credibility. Not eligible for CR/NCR option.",Distribution Requirements: Science,N/A,Prerequisite: ACT371H1,N/A,Hours: 24L/12T
Professional Experience in Actuarial Science,ACT390H1,"This course is preparation for an internship work term. It includes various professional skill workshops, networking activities and an invited speaker series. The course is mandatory for students in the Actuarial Science Specialist program. A limited number of spots in the course are open for students in the Actuarial Science Major program. Students in the major program must apply to the department for permission to take the course. This is a CR/NCR course. This course does not carry credit weight and is evaluated as Credit/No Credit. No tuition fee is associated, however a $625 ancillary fee will be assessed towards Professional Experience preparatory program costs.",Distribution Requirements: Science,N/A,Prerequisite: Enrolment in the Actuarial Science Specialist program or by approval of the Department of Statistical Sciences.,N/A,Hours: 24S
Professional Internship,ACT391H1,"Internship course for students enrolled in the Actuarial Science Specialist, fulfilled as a 420-hour work term at a minimum (maybe longer based on professional and academic needs) in a workplace related to actuarial science in third or fourth year.  ACT390H1 must be completed first in preparation. Contact Department for more information. This course does not carry credit weight and is evaluated as Credit/No Credit. No tuition fee is associated, however an ancillary fee of $790 will be assessed towards Professional Experience placement.",N/A,N/A,Prerequisite: ACT390H1,N/A,N/A
Research Excursions,ACT398H0,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,N/A
Research Excursions,ACT398Y0,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,N/A
Loss Models,ACT451H1,"Loss models policy adjustments, frequency and severity models, compound distributions.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: STA257H1,  ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%)",N/A,Hours: 36L
Loss Models II,ACT452H1,"Estimation of Loss and Survival Models using complete, censored and truncated data. Product-Limit estimation, empirical estimation, moment and percentile estimation, maximum likelihood estimation and simulation models.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%),  STA261H1,  ACT451H1",N/A,Hours: 36L
Advanced Life Contingencies,ACT455H1,"Advanced life contingencies, multiple decrement theory, insurance policy expenses, multi-state transition models, Poisson processes. This course is the last in the three-course series for life contingencies, following  ACT247H1 and  ACT348H1.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%),  ACT348H1,  ACT350H1/  STA347H1",N/A,Hours: 36L
Stochastic Methods for Actuarial Science and Finance,ACT460H1,"Applications of the lognormal distribution, Brownian motion, geometric Brownian motion, martingales, Ito's lemma, stochastic differential equations, interest rate models, the Black-Scholes model, volatility, value at risk, conditional tail expectation. Topics in advanced financial mathematics.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%),  ACT350H1/ STA347H1",N/A,Hours: 36L
Credibility and Simulation,ACT466H1,"Limited fluctuation credibility, Bayesian estimation, Buhlmann credibility, non-parametric credibility methods, inverse transformation simulation method, specialized simulation methods for the normal and lognormal distributions, Monte Carlo methods, the bootstrap method.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%),  STA261H1,  ACT451H1",N/A,Hours: 36L
Advanced Pension Mathematics,ACT470H1,Topics in pension mathematics; funding methods for pension plans. (Offered in alternate years),Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),Prerequisite: ACT348H1 or permission of instructor,Corequisite: ACT455H1,Hours: 36L
Topics in Casualty Actuarial Science,ACT471H1,"This course will cover current topics relevant to industry participants. Topics may include advanced modeling, pricing for different lines of business, financial conditions, regulatory impacts and current developments. Students will develop an understanding of key topics driving the industry today and some of the framework of reference used by actuarial practitioners for charting a course in areas of uncertainties. (Offered in alternate years) Not eligible for CR/NCR option.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),Prerequisite: ACT371H1,N/A,Hours: 36L
Issues In Actuarial Practice,ACT473H1,"Case study approach to current issues in life insurance, pension consulting and casualty actuarial practice. The focus of the course will be on communication and presentation. This course is Pass/Fail. Not eligible for Credit/No Credit.  The course is open to students in the specialist program in actuarial science. Students in the major program in actuarial science can enrol into the course with permission of the department.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT348H1,  ACT349H1",N/A,Hours: 24L/24T
Insurance Products and Regulation with AXIS,ACT475H1,"Case studies using leading actuarial application AXIS. Examine key types of insurance products and their pricing and valuation. Review representative developments in insurance regulations in US, Europe and Canada. Other topics include a brief introduction of the use of AI in life insurance.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: ACT240H1,  ACT245H1,  ACT247H1",Corequisite: ACT348H1,Hours: 36L
Readings in Actuarial Science,ACT496H1,Independent study under the direction of a faculty member. Persons wishing to take this course must have the permission of the Undergraduate Secretary and of the prospective supervisor. Not eligible for CR/NCR option.,Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,N/A
Readings in Actuarial Science,ACT497H1,Independent study under the direction of a faculty member. Persons wishing to take this course must have the permission of the Undergraduate Secretary and of the prospective supervisor. Not eligible for CR/NCR option.,Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,N/A
Readings in Actuarial Science,ACT498Y1,Independent study under the direction of a faculty member. Persons wishing to take this course must have the permission of the Undergraduate Secretary and of the prospective supervisor. Not eligible for CR/NCR option.,Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,N/A
Readings in Actuarial Science,ACT499Y1,Independent study under the direction of a faculty member. Persons wishing to take this course must have the permission of the Undergraduate Secretary and of the prospective supervisor. Not eligible for CR/NCR option.,Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,N/A
Introduction to African Studies,AFR150Y1,"A multi-disciplinary study of Africa, emphasizing inquiry and critical analysis. Pre-colonial, colonial and contemporary African history, anthropology, politics, African humanism and society, religion, art, music, race, resistance, gender and Pan-Africanism.","Distribution Requirements: Humanities, Social Science",Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 48L/24T
Africa in the 21st Century: Challenges and Opportunities,AFR250Y1,"A critical examination of Africa as a living space rather than merely a site of intellectual speculation and study. Uses scholarly and popular literature to explore the issues that engage the attention of ordinary Africans, ranging from the dramatic to the seemingly trivial, as they struggle to fashion meaningful lives in fast-changing societies. Topics include urban transition and city life; economic, political and cultural impacts of globalization; new religious movements and changing conceptions of selfhood; new African diasporas in the West; dynamics of gender relations, kinships and identities; and the politics of liberalization. Materials studied will include print and electronic news media and other mass media resources from Africa and across the world.","Distribution Requirements: Humanities, Social Science","Breadth Requirements: Creative and Cultural Representations (1), Society and its Institutions (3)",N/A,N/A,Hours: 48L
"Language, Freedom and Linguistic Human Rights in Africa",AFR251H1,"Examines the language situation in Africa and the extent to which freedom and linguistic human rights are enabled, granted, nurtured, achieved or protected by post-colonial African states. Using linguistic diversity in Africa as a backdrop, presents, discusses and assesses language policies that were adopted by post-colonial African states, particularly in education, and the implications that these policies have for the rights, freedom and empowerment of citizens of African states. Changes and evolving trends in language use and language planning are also discussed.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24L
African Literature and the Politics of Storytelling,AFR270H1,"Focuses on the art and politics of storytelling across the continent.  Students will engage with various kinds of narrative genres from great African novels to short stories, folktales, popular African films from Nollywood and other industries, as well as more recent forms of storytelling from social media.  Topics of discussion will include globalization, colonialism, post-coloniality, neo-imperialism, environmental justice, ecocriticism, artistic expression and African identities.  This novel course offers a combination of a wide range of literary and non-literary narrative genres as well as a variety of theoretical and methodological approaches to textual analysis from decolonial theories to ecocriticism, postcolonial environmentalisms, narrative theory, as well as more traditional methods of literary criticism and analysis.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24L
Introductory Swahili,AFR280Y1,Introduction to grammar and basic vocabulary of Swahili. Emphasis on comprehension and oral practice. Reading of selected texts. Relation of the language to its East African cultural context.,Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24L/72T
The Idea of Africa,AFR290H1,"An historical examination of Africa as a conceptual category, exploring discourses and representations - both African and non-African - that have produced our understandings of the meanings of Africa and Africanness.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L/12T
Popular Uprisings in Africa,AFR298H1,"In recent years, popular uprisings have mobilized thousands in over 40 African countries, to demand a radical overhauling of existing economic and political systems. This course asks: What are the catalysts, underlying causes and demands of these protest movements? What can we learn from the grassroots organizing that allowed these movements to gain momentum? How might scholars and activists analyzing the popular uprisings in their countries, allow us to develop new vocabularies and frameworks for understanding popular protests and theories of revolution? Case Studies will include popular uprisings in Sudan, Burkina Faso, Algeria, Senegal, Cameroon, Djibouti, DRC, Eswatini and Nigeria and reflect on similar movements around the world.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L
The Contemporary African Novel,AFR322H1,"Novels written in the last forty years by English, French and Portuguese-speaking Africans. Ideological views concerning colonialism and neo-colonialism. Tradition, religious and secular; the use of African symbolism. A small number of historical and sociological texts are recommended as essential background reading. Works not written in English are read in translation. (Offered in alternate years)",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24S
African Systems of Thought,AFR351Y1,"The exploration of a range of African cosmologies, epistemologies, and theologies, as well as specific case studies on justice, the moral order, and gender relations. The influence of these richly diverse traditions is traced as well in the writings of African thinkers in the Diaspora.",Distribution Requirements: Humanities,"Breadth Requirements: Society and its Institutions (3), Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 48L
"International Organizations, NGOs, Development and Change in Africa",AFR352H1,"Critically explores the role of international organizations such as the World Bank Group, the UN and NGOs in the economic development of Africa.","Distribution Requirements: Humanities, Social Science",Breadth Requirements: Society and its Institutions (3),Prerequisite: AFR150Y1/ AFR250Y1,N/A,Hours: 24L
International Relations of Africa,AFR353H1,"Explores inter-state relations in Africa, African states’ relations with the West, China, India, Brazil, and international political, economic and financial institutions.","Distribution Requirements: Humanities, Social Science",Breadth Requirements: Society and its Institutions (3),Prerequisite: AFR150Y1/ AFR250Y1,N/A,Hours: 24L
African Cultures and Development,AFR354H1,Critically examines scholarly debates on the relationships between African cultures and development in various regions of the continent. Draws on interdisciplinary scholarship and development discourses to enhance students' understanding of African conditions and cultures in the context of development thinking.,Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: AFR150Y1/ AFR250Y1,N/A,Hours: 24L
African Youth Languages and Cultures,AFR355H1,"Examines the nature of youth languages and cultures in contemporary Africa with a focus on their characteristics and the conditions under which they develop. Also considers similarities and/or differences between youth languages and cultures in different regions of Africa and the general youth condition. Includes urban youth languages such as Sheng, Engsh, Tsotsitaal, etc. and music genres associated with youth such as hip hop, Bongo flava, etc. Discusses challenges and opportunities associated with African youth languages as they relate to questions of identity, national integration, regional integration, and development.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: AFR150Y1/ AFR250Y1/ AFR280Y1,N/A,Hours: 24L
Special Topics in African Studies,AFR357H1,An upper level course. Topics of study vary from year to year.,N/A,N/A,Prerequisite: AFR150Y1/ AFR250Y1,N/A,Hours: 24L
Special Topics in African Studies,AFR358H1,An upper level course. Topics of study vary from year to year.,"Distribution Requirements: Humanities, Social Science",N/A,Prerequisite: AFR150Y1/ AFR250Y1,N/A,Hours: 24L
The Horn of Africa,AFR359H1,"Examines the Horn of Africa, its diversity, geopolitics, cultural politics, present conditions and current debates through a critical and comparative lens. Considers social forces in contemporary politics within the region including competing claims, explanations of the underpinnings of the Horn's conflict, and the promise of peace. Draws upon interdisciplinary scholarship, public discourse, texts and media to reflect on the future of the Horn of Africa at this historical moment.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: Completion of at least 4.0 credits,N/A,Hours: 24L
"Art, Media and Politics in Africa and the African Diaspora",AFR365H1,"Explores the critical intersections between art, media and politics by analyzing the making and circulation of various indigenous and modern art forms and their use as creative and radical strategies for creative expression, dissent, citizenship, and alternative forms of representation, reimaginings, transcendence and agency in African post-colonial contexts, and interconnected with the African Diaspora.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: Completion of 4.0 credits.,N/A,Hours: 24L
"Anticolonialism, Radicalism and Revolutions in Africa",AFR370H1,"An interdisciplinary exploration of the histories of nationalist and revolutionary movements, ideologies, and regimes in twentieth and twenty-first century Africa, examining the various ways that Africans imagined, actively shaped, and continue to demand freedom and political modernity. Emphasis will be placed on African history methodology (including oral history) and historiography to encourage students to apply a historical lens to approaching key themes and concepts in African Studies such as nationalism, decolonization, the state, politics, citizenship, labour movements, and pro-democracy movements.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),Prerequisite: Completion of 4.0 credits,N/A,Hours: 24L
Intermediate Swahili,AFR380Y1,"Grammar and syntax. Conversation and written composition. Reading of texts: literary, journalistic. Relation of the language to its East African context.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: AFR280Y1,N/A,Hours: 24L/72T
The Geopolitics and Debates on Africa-China Economic Relations,AFR389H1,"Explores the geopolitics of Africa-Asia relations, in particular, the unabated and polarized debates and narratives on China’s engagement across sectors in Africa, ‘Africa-China’ multifaceted trade relations, strategies and interests, and economic diplomacy. Critically examines the changing landscape of economic cooperation and development financing in contemporary Africa, their underlying impulses and their broader implications.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: Completion of 4.0 credits,N/A,Hours: 24L
African Studies Honours Research Seminar,AFR450Y1,"This honours research seminar required of all specialists and majors in African Studies offers critical explorations of the genealogy of African Studies, the transnational study of Africa, Africa’s place in a globalized world, the historical, intellectual and institutional contexts of Africanist knowledge production, its dissemination and consumption in Africa, Europe, the Americas and emerging academic sites in Asia. It engages with the paradigm shifts and vibrant scholarly and epistemic debates across disciplines and geographies as well as unfolding events, public discourses, geopolitics, African popular cultures and the reimagining of African futures through canonical, emergent scholarship and creative media and emphasizes students’ original and creative research explorations, engaged praxis and search for alternative theorizing and decolonial epistemologies.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: AFR150Y1/  AFR250Y1/ 400-level Group A Course. Students who do not meet the prerequisites are encouraged to contact the department.,N/A,Hours: 24S
Special Topics in African Studies,AFR451H1,An upper level course. Topics of study vary from year to year.,"Distribution Requirements: Humanities, Social Science",N/A,Prerequisite: AFR150Y1/ AFR250Y1,N/A,Hours: 24L
Kiswahili in a Globalized World,AFR452H1,"Examines the state and role of Kiswahili in the globalized world of the 21st century. Traces the changes in the roles of Kiswahili over time from its beginnings as a local East African coastal language to its current status as a regional and international lingua franca, and gives students an opportunity to interact with Kiswahili speakers in Toronto. Explores the challenges and opportunities arising from contact with other cultures and languages through globalization. Globalization as a potent force and its effects on Kiswahili are discussed in detail.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: Completion of 9.0 credits,N/A,Hours: 24L
"Migration, Mobility, and Displacement in Contemporary Africa",AFR454H1,"Why do people move voluntarily or involuntarily? What are the causes and consequences of migration and displacement in Africa? This course critically examines the multifaceted dimensions of migration, mobility, and displacement, with a specific focus on communities and populations displaced by war, environmental destruction and disaster, economic failings, and the quest for economic opportunities, love, education, or individual freedom.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),Prerequisite: AFR150Y1/ AFR250Y1 or permission of the instructor.,N/A,Hours: 24S
"Conflicts, Negotiations and Peacebuilding in Africa",AFR455H1,"Examines conflicts and peace negotiations in African contexts such as Somalia, Sudan, the Democratic Republic of Congo, and North Africa through public discourse, citizen actions, policy debates and mobilizations. Explores formal, informal, indigenous and institutional mediation and peace negotiation platforms, strategies, and impulses. Analyzes various conflict zones, case studies and intervention strategies for negotiating and sustaining peace in Africa in the broader context of the war on terror, increasing militarism, and securitization in peacebuilding.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: AFR150Y1/ AFR250Y1,N/A,Hours: 24S
Advanced Special Topics in African Studies,AFR459H1,An upper-level course. Topics of study vary from year to year.,"Distribution Requirements: Humanities, Social Science",N/A,Prerequisite: AFR150Y1/ AFR250Y1,N/A,Hours: 24L
Advanced Topics in African Studies,AFR499H1,"A joint graduate/undergraduate upper-level seminar.  Topics vary from year to year, depending on the instructor.  Consult the Program Office for course enrolment procedures.","Distribution Requirements: Social Science, Humanities",N/A,"Prerequisite: AFR150Y1/ AFR250Y1, at least 1.0 credit from African Studies Group A at the 300+ level.  Students who do not meet the prerequisites are encouraged to contact the Program Office.",N/A,Hours: 24S
Razing the Roof and Tearing Down Monuments: Controversies in Public Memory,AMS199H1,"In cities across America, statues of past heroes are being kicked off their pedestals. As the republic grapples with conflicting histories, this course introduces students to the interdisciplinary field of American Studies by considering the politics, history, aesthetics, ideologies and geographies of public memorialization. We’ll also critically engage with current research on creative acts of public memory – both digital and material – which offer provocative ways to encounter our collective pasts. Restricted to first-year students. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: None,Corequisite: None,Hours: 24L
